op_type,cycles,cycles_%,macs,macs_%,energy_nJ,energy_%,energy_J
matmul_tile,488165544,95.14504141946041,1735259062272,99.70454595262748,765791170.461758,96.96680855682985,0.765791170
softmaxop,1277808,0.24904890683173225,651264000,0.037420338453828896,8973115.392000,1.136203179059582,0.008973115
geluop,11963664,2.3317567591548567,286261248,0.016448003860762225,7938024.407040,1.0051368084235819,0.007938024
addop,7603916,1.4820277909046728,144015360,0.008274837107148578,4000049.135616,0.5064983950093207,0.004000049
layernorm,2702898,0.5268035512202737,86016000,0.004942308852392495,1189243.060224,0.15058557554110352,0.001189243
conv2d,658459,0.1283357860832892,3973349376,0.22830077886268832,1152053.587968,0.14587653138432294,0.001152054
ucieop,672000,0.1309749707240243,0,0.0,688128.000000,0.08713286155853682,0.000688128
avgpool2d,30840,0.006010815620727545,1179648,6.778023568995423e-05,13884.456960,0.0017580921952182486,0.000013884
