op_type,cycles,cycles_%,macs,macs_%,energy_nJ,energy_%,energy_J
matmul_tile,447680520,95.18153783238175,1735259062272,99.70454595262748,724101894.242244,97.23843000118741,0.724101894
softmaxop,1277808,0.2716752797162585,651264000,0.037420338453828896,8973115.392000,1.2049846297538738,0.008973115
geluop,8981376,1.9095340121809308,286261248,0.016448003860762225,3944107.474944,0.5296475836744575,0.003944107
addop,7078716,1.5050086940541572,144015360,0.008274837107148578,2977522.384896,0.39984649163729125,0.002977522
ucieop,2304444,0.4899487781344722,0,0.0,2359750.656000,0.316886961363131,0.002359751
layernorm,2699818,0.574009405429446,86016000,0.004942308852392495,1185128.448000,0.1591489133637192,0.001185128
conv2d,298027,0.06336364194620582,3973349376,0.22830077886268832,1114678.554624,0.1496883152350509,0.001114679
avgpool2d,23152,0.004922356156786322,1179648,6.778023568995423e-05,10180.362240,0.0013671037859898187,0.000010180
