op_type,cycles,cycles_%,macs,macs_%,energy_nJ,energy_%,energy_J
matmul_tile,271225896,92.59465918433055,1735259062272,99.70454595262748,724101894.242244,97.23409786789544,0.724101894
softmaxop,1277808,0.43623488025277296,651264000,0.037420338453828896,8973115.392000,1.204930945690579,0.008973115
geluop,8981376,3.06618011772123,286261248,0.016448003860762225,3944107.474944,0.5296239869963724,0.003944107
addop,6106932,2.084864666469319,144015360,0.008274837107148578,2977522.384896,0.39982867781308534,0.002977522
ucieop,2304444,0.7867213637645257,0,0.0,2359750.656000,0.3168728435235578,0.002359751
layernorm,2699818,0.9216993334947668,86016000,0.004942308852392495,1185128.448000,0.1591418230157369,0.001185128
conv2d,298004,0.10173652008349247,3973349376,0.22830077886268832,1147856.154624,0.1541368121868735,0.001147856
avgpool2d,23152,0.007903933883347264,1179648,6.778023568995423e-05,10180.362240,0.0013670428792492968,0.000010180
