op_type,cycles,cycles_%,macs,macs_%,energy_nJ,energy_%,energy_J
matmul_tile,2946867664,98.63191068438782,14813935697920,99.75404437024976,10246074015.957451,97.02748213590758,10.246074016
softmaxop,10456904,0.34999346389489505,20686471168,0.1392985095140048,285018199.752704,2.6990433840165653,0.285018200
addop,6305482,0.2110450174073426,790685696,0.005324317427189885,8651865.350144,0.08193076776489888,0.008651865
conv2d,3668398,0.12278159223467147,12678653952,0.08537548931445892,7882054.344704,0.0746408708285673,0.007882054
ucieop,6166864,0.20640546118896452,0,0.0,6314868.736000,0.059800057321329585,0.006314869
layernorm,8103782,0.2712342709495182,789358592,0.005315380977484725,5912134.537216,0.05598627604108748,0.005912135
geluop,6160384,0.20618857503929355,1577058304,0.010619591392838001,78852.915200,0.0007467152598172298,0.000078853
avgpool2d,13174,0.00044093489749464536,3317760,2.2341124262899925e-05,39050.035200,0.00036979301407286417,0.000039050
