op_type,cycles,cycles_%,macs,macs_%,energy_nJ,energy_%,energy_J
matmul_tile,2399115120,97.46965958462418,11662557118464,99.62753747404113,7896365191.717527,97.88225659666222,7.896365192
softmaxop,7619966,0.3095789301125368,9713124096,0.08297448192834238,133827423.794688,1.6589063344336912,0.133827424
conv2d,30032024,1.2201211736422481,30527668224,0.26078298087531404,20268278.464128,0.25124279149086054,0.020268278
addop,5103982,0.20736119910162928,619167744,0.005289248060394648,6977671.593984,0.08649425714580289,0.006977672
ucieop,4666400,0.18958340752139075,0,0.0,4778393.600000,0.05923230969176026,0.004778394
layernorm,5046995,0.20504596902182012,321847296,0.0027493844803893113,4436983.676928,0.05500023925385394,0.004436984
reluop,460430,0.018706044986515073,29327360,0.0002505293331244587,404072.366080,0.0050088254608270195,0.000404072
geluop,9330304,0.37906540920848236,2388541440,0.020404144597513527,139834.982400,0.0017333752044324366,0.000139835
avgpool2d,21618,0.0008782817812012313,1376256,1.1756683789080746e-05,10105.847808,0.00012527069914484496,0.000010106
