op_type,cycles,cycles_%,macs,macs_%,energy_nJ,energy_%,energy_J
matmul_tile,314531376,96.2045105455517,1735259062272,99.70454595262748,2088506161.101657,98.79977340427521,2.088506161
softmaxop,1277808,0.3908382520514911,651264000,0.037420338453828896,8973115.392000,0.4244860675883169,0.008973115
geluop,2272512,0.6950845650097965,286261248,0.016448003860762225,7938024.407040,0.37551960693257624,0.007938024
addop,4926524,1.50685707778455,144015360,0.008274837107148578,4048438.296576,0.19151716848750522,0.004048438
conv2d,561061,0.17160958495663015,3973349376,0.22830077886268832,2520486.113280,0.11923520337106885,0.002520486
layernorm,2692914,0.8236713189187962,86016000,0.004942308852392495,1189243.060224,0.0562588452268487,0.001189243
ucieop,672000,0.20554207312726328,0,0.0,688128.000000,0.03255288001509892,0.000688128
avgpool2d,6168,0.001886582599775238,1179648,6.778023568995423e-05,13884.456960,0.0006568241104760817,0.000013884
